target_id	length	eff_length	est_counts	tpm
Solyc11g017373.1.1	738	559	0	0
Solyc09g060100.3.1	5908	5729	24	2.23336
Solyc03g006950.2.1	2238	2059	0	0
Solyc03g114300.3.1	2676	2497	1	0.213505
Solyc02g011755.1.1	321	142	0	0
Solyc11g010105.1.1	741	562	73	69.249
Solyc09g092080.3.1	862	683	104.546	81.6042
Solyc05g055160.3.1	2243	2064	26212.1	6770.46
Solyc06g053780.3.1	2021	1842	51	14.7607
Solyc07g055920.3.1	1156	977	374	204.082
Solyc02g062040.3.1	1448	1269	87	36.5497
Solyc05g046390.3.1	754	575	77	71.392
Solyc09g042300.2.1	2512	2333	0	0
Solyc03g044600.2.1	1206	1027	8	4.15285
Solyc11g067270.1.1	1293	1114	0	0
Solyc09g083370.3.1	1089	910	0	0
Solyc09g018235.1.1	789	610	0	0
Solyc03g115845.1.1	300	121	0	0
Solyc07g065280.3.1	693	514	168	174.25
Solyc10g018885.1.1	357	178	7	20.9655
Solyc10g051050.2.1	2773	2594	0	0
Solyc03g007680.3.1	1191	1012	83	43.7244
Solyc03g115800.1.1	1281	1102	2	0.967554
Solyc05g005910.3.1	1815	1636	1	0.325869
Solyc07g032300.1.1	213	36.0583	0	0
Solyc01g091860.3.1	3645	3466	59	9.07507
Solyc12g098660.2.1	1485	1306	2	0.81642
Solyc04g057890.3.1	4289	4110	95.995	12.4518
Solyc06g008960.3.1	4420	4241	132	16.5933
Solyc02g030520.1.1	69	3.93736	0	0
Solyc10g044967.1.1	720	541	0	0
Solyc07g026705.1.1	641	462	0	0
Solyc07g039384.1.1	453	274	0	0
Solyc08g005440.3.1	3192	3013	16	2.83105
Solyc01g005610.3.1	1068	889	0	0
Solyc04g050345.1.1	390	211	0	0
Solyc10g086290.2.1	1363	1184	1	0.450272
Solyc12g035860.1.1	315	136	0	0
Solyc05g016473.1.1	3230	3051	0	0
Solyc02g088954.1.1	675	496	0	0
Solyc08g082330.3.1	484	305	0	0
Solyc05g026050.3.1	1505	1326	246	98.905
Solyc10g050630.1.1	315	136	0	0
Solyc07g039540.1.1	246	67.0317	0	0
Solyc01g096185.1.1	435	256	0	0
Solyc07g021740.2.1	811	632	0	0
Solyc02g062375.1.1	3217	3038	198.72	34.8723
Solyc12g009620.2.1	1820	1641	92	29.8886
Solyc05g012170.2.1	783	604	0	0
Solyc01g103803.1.1	699	520	0	0
Solyc12g087900.2.1	1377	1198	0	0
Solyc09g090660.3.1	2092	1913	633.744	176.614
Solyc02g081700.1.1	747	568	231	216.816
Solyc08g079580.1.1	447	268	0	0
Solyc04g057880.3.1	6172	5993	85.005	7.56183
Solyc05g021090.3.1	1542	1363	2.05687	0.804521
Solyc06g082000.3.1	2271	2092	3	0.764515
Solyc11g045540.1.1	447	268	0	0
Solyc10g084360.1.1	165	12.1958	0	0
Solyc03g062745.1.1	441	262	0	0
Solyc04g050550.2.1	2358	2179	13	3.18063
Solyc05g024454.1.1	521	342	0	0
Solyc09g016957.1.1	339	160	0	0
Solyc09g060170.1.1	1035	856	0	0
Solyc05g055790.3.1	2662	2483	25.0976	5.38868
Solyc01g096255.1.1	405	226	0	0
Solyc05g054170.3.1	4313	4134	165	21.2785
Solyc01g005730.3.1	3708	3529	0	0
Solyc10g018355.1.1	780	601	0	0
Solyc08g076830.1.1	1026	847	1	0.629424
Solyc10g045040.1.1	225	46.6066	0	0
Solyc03g081203.1.1	183	17.7996	0	0
Solyc02g085700.2.1	2892	2713	81	15.917
Solyc12g008580.2.1	2991	2812	27	5.11888
Solyc08g014290.1.1	1188	1009	40	21.1347
Solyc01g102970.3.1	2799	2620	101	20.5517
Solyc08g044540.1.1	225	46.6066	0	0
Solyc06g060270.3.1	3396	3217	12	1.98864
Solyc06g072570.3.1	1211	1032	188	97.1191
Solyc01g109070.2.1	616	437	28	34.1589
Solyc05g041900.1.1	285	106	0	0
Solyc01g010050.3.1	1875	1696	175.596	55.197
Solyc08g061450.2.1	1512	1333	1	0.399942
Solyc10g055740.2.1	1711	1532	5	1.73995
Solyc01g086900.3.1	3177	2998	25	4.44565
Solyc11g007120.2.1	1251	1072	59	29.3416
Solyc01g104448.1.1	516	337	0	0
Solyc01g060410.3.1	279	100	0	0
Solyc02g080470.3.1	3187	3008	95	16.8373
Solyc08g045760.1.1	261	82.002	0	0
Solyc11g008720.2.1	2785	2606	191	39.0738
Solyc05g051840.1.1	1134	955	80	44.6594
Solyc02g084550.3.1	1100	921	42	24.3118
Solyc04g017965.1.1	300	121	0	0
Solyc07g045250.1.1	213	36.0583	97	1434.15
Solyc02g092420.3.1	2392	2213	2	0.481809
Solyc10g055650.2.1	3037	2858	135.228	25.2249
Solyc07g007290.1.1	1572	1393	0	0
Solyc06g068930.2.1	1137	958	2	1.11299
Solyc05g009050.3.1	4077	3898	2	0.273536
Solyc04g054730.3.1	2506	2327	8	1.83282
Solyc03g034201.1.1	498	319	0	0
Solyc06g007165.1.1	2062	1883	0	0
Solyc03g013630.3.1	2749	2570	29	6.01577
Solyc03g112200.1.1	756	577	2	1.84791
Solyc02g083630.3.1	2225	2046	0	0
Solyc02g092810.3.1	868	689	7	5.41634
Solyc10g082060.1.1	759	580	0	0
Solyc01g087570.2.1	548	369	2	2.88955
Solyc09g063140.3.1	2272	2093	263.61	67.1459
Solyc01g060210.3.1	456	277	0	0
